category,experience,position,location,skills,exp_length,pos_length,city,country,region,population,population_category,skills_scores_1,skills_scores_2,position_scores_1,position_scores_2,experience_scores_1,experience_scores_2
HR,"Senior Vice President & Head of HRCompany NameSamsung Electronics India LimitedDates EmployedJan 2018 – PresentEmployment Duration2 yrs 3 mosLocationGurgaon, Haryana, IndiaVice President Franchise capability building and business transformationCompany NameCoca-Cola India and South West AsiaDates EmployedJan 2017 – Dec 2017Employment Duration12 mosLocationGurgaon, Haryana, IndiaWorked with 17 Franchisees in India and SW asia markets on developing capabilities & talent and make them future ready .Vice President - Human Resources & Services , India & South West AsiaCompany NameCoca Cola India Inc.Dates EmployedJul 2010 – Dec 2016Employment Duration6 yrs 6 mosLed HR & services team for Coca Cola units in India and South West Asia ; Senior Strategic business partner in the regionHead of HR - Services - India/Global EntitiesCompany NameNokia Siemens Networks LimitedDates EmployedJan 2008 – Nov 2010Employment Duration2 yrs 11 mosMember of Business leadership team at region level and HR leader",Senior Vice President and Head of HR- Samsung Electronics India Limited,"Gurgaon, Haryana, India","Performance Management, Human Resources, Talent Management, Talent Acquisition, Recruiting, Strategy, Change Management, Deferred Compensation, Strategic HR, HR Policies, Compensation & Benefits, Business Strategy, Strategic Human Resource Planning, Succession Planning, Vendor Management, Workforce Planning, HRIS, Personnel Management, Employee Relations, Management, Employee Engagement, Leadership, Team Management, Conflict Management, People Skills, Performance Appraisal, Organizational Structure, Certified career coach, Certified Hogan assessor and coach",140,11,Gurgaon,India,Haryana,197340,2,0.7310178279876709,0.4928556382656097,0.7961317896842957,0.4973043799400329,0.8019881248474121,0.4530530869960785
HR,"Head of Talent Acquisition - India & APAC and HR Leader for Healthcare Business UnitCompany NameAtos SyntelDates EmployedSep 2014 – PresentEmployment Duration5 yrs 7 mosLocationPune Area, IndiaCurrently Heading GRC (Global Recruitment Cell) , Talent Acquisition for India & Philippines. Responsible for Talent Acquisition through Lateral, Campus and Variable Workforce, Leading Team of 80+ members includes Recruiters, Managers and Sr. Managers. Formulation and implementation of Talent Acquisition Strategy to drive fulfillment with impact on Quality, Turnaround Time and Cost. Closely work with leadership team and influence them in decision making for getting best talent. Expertise in Automation and Outsourcing of transnational layer to achieve Productivity, Effectiveness.Devise Candidate Experience Framework / Branding in Talent Market / Social Media Interventions.Can drive Just In Time fulfillment through Variable Workforce without compromising on quality.…Senior Manager - Human Resources",Head Talent Acquisition and HR Leader for Healthcare Business Unit,"Pune, Maharashtra, India","Talent Acquisition, Employee Engagement, Vendor Management, Human Resources, Recruiting, Performance Management, HR Policies, Resource Management, Program Management, Benefits Negotiation, CRM, SDLC, Telecommunications, Change Management, VAS, Project Planning, Strategic HR, Customer Relationship Management \\(CRM\\), Budgets, HR Transformation, Service Delivery, Strategy, HRIS, MIS, Talent Management, Team Management, Employee Relations, Performance Appraisal, Personnel Management, Strategic Partnerships, Training Delivery, Management, Incentive Programs",133,10,Pune,India,Maharashtra,3124458,2,0.6958029270172119,0.4907984733581543,0.8061559200286865,0.494926244020462,0.7752865552902222,0.4868933260440826
HR,"Company NameIBM INDIA Pvt LtdTotal Duration8 yrs 7 mosTitleHR Talent AcquisitionPartner and HR Immigration SpecialistFull-timeDates EmployedSep 2011 – PresentEmployment Duration8 yrs 7 mosLocationBengaluru, Karnataka, IndiaH-1B Visa Work Permit, Extension, Extension Amendment+ CAP,SOC Determination, Petition preparation, USCIS filing, LCA Filing, answering to employee queries, Managing the client on H-1B aspect Verifying all the Laws process and procedure for H-1B are in line with the country and company Process and LawsTechnical Recruitment/Talent AcquisitionResource ManagementVendor consolidation and managementRisk Management & Mitigation plansMarket Research & Intelligence on target audienceResource Planning and EstimationImpart Training on Recruitment Tactics and StrategiesStrong Social media experience on Niche hiringSalary negotiation of compensation with the candidates and submitting iting the same to the competency for further processing.Have been involved in planning & executi",HR@IBM,"Bengaluru, Karnataka, India","Human Resources, Recruiting, Team Management, Talent Acquisition, Technical Recruiting, Screening, Vendor Management, SDLC, Business Development, Market Research, Strategic Planning, College Recruiting, Resource Management, Benefits Negotiation, Performance Management, Hiring, Executive Search, Management, Talent Management, Sourcing, Training, Employee Relations",123,1,Bengaluru,India,Karnataka,8443675,3,0.6568883657455444,0.4942508935928345,0.1502064913511276,0.5015726685523987,0.8064423203468323,0.4486570954322815
HR,"HR/Admin/Personnel/LegalCompany NameHR and HR Related PeopleDates EmployedJan 1989 – PresentEmployment Duration31 yrs 3 mosLocationPune Area, India",HR,"Pune , India",,16,1,,India,Pune,1,1,0.8403109908103943,0.5060482025146484,0.7818013429641724,0.5086311101913452,0.7491574287414551,0.484001874923706
HR,"Company NameEXLTotal Duration6 yrs 4 mosTitleVice President - Head of Digital HR Technologies and HR Operations/ shared servicesDates EmployedJul 2018 – PresentEmployment Duration1 yr 9 mosLocationNoida Area, IndiaHave a passion for working on great products, enthusiastic about #UserExperience #SaaS #HRTech #Bots #IoT #Gadgets, #Mobileapps, #ERP... Strong experience in managing Transformative Business HR IT initiatives in a Global Shared Service environmentTitleSenior Assistant Vice President - Human ResourcesDates EmployedDec 2013 – Jun 2018Employment Duration4 yrs 7 mosTitleVice President - Head of Digital HR Technologies and HR Operations/ shared servicesDates EmployedJul 2018 – PresentEmployment Duration1 yr 9 mosLocationNoida Area, IndiaHave a passion for working on great products, enthusiastic about #UserExperience #SaaS #HRTech #Bots #IoT #Gadgets, #Mobileapps, #ERP... Strong experience in managing Transformative Business HR IT initiatives in a Global Shared Service environmentT","Vice President - Digital HR Transformation Lead, Global HR Operations / Shared Services and HR Technologies","Delhi, Delhi, India","Team Management, Human Resources, Employee Engagement, Talent Acquisition, Deferred Compensation, ERP, SDLC, HR Consulting, Change Management, Strategic HR, Business Process Improvement, MIS, HRIS, PeopleSoft, Cognos, Management, Personnel Management, Talent Management, Employee Relations, Performance Appraisal, Process Improvement, Shared Services",129,16,Delhi,India,Delhi,10927986,3,0.7269096374511719,0.4920845031738281,0.7700221538543701,0.4955641031265259,0.7932944893836975,0.4550603032112121
HR,"HR Location Lead and HR Business PartnerCompany NameBrillioDates EmployedFeb 2019 – PresentEmployment Duration1 yr 2 mosLocationPune Area, IndiaHR Business PartnerCompany NameMphasisDates EmployedJan 2017 – Feb 2019Employment Duration2 yrs 2 mosLocationPune Area, IndiaHR Business PartnerCompany NameMindtreeDates EmployedOct 2011 – Jan 2017Employment Duration5 yrs 4 mosLocationPune",HR Location Lead and HR Business Partner,"Pune, Maharashtra, India","Human Resources, Employee Engagement, Performance Appraisal, Performance Management, Benefits Negotiation, HRIS, Team Management, Management, Talent Management, Employee Relations, Negotiation, Team Building, Personnel Management",44,7,Pune,India,Maharashtra,3124458,2,0.6799216270446777,0.4980699121952057,0.8151561617851257,0.5075700283050537,0.3409741520881653,0.4808235764503479
HR,"Company NameAxis BankTotal Duration18 yrs 7 mosTitleHead Talent & Performance Mangement and HR Relationship Head for Corporate Centre verticalsDates EmployedJul 2019 – PresentEmployment Duration9 mosLocationMumbai, Maharashtra, IndiaTitleSenior Vice President Human ResourcesDates EmployedMay 2018 – PresentEmployment Duration1 yr 11 mosLocationMumbai, Maharashtra, IndiaHeading Business HR GroupTitleVice President & Head HR - Retail & Corporate BankingDates EmployedAug 2015 – Apr 2018Employment Duration2 yrs 9 mosLocationMumbai, Maharashtra, IndiaHR Business Partner Lead for Retail Banking, Corporate Banking & Corporate Centre functions.TitleVice President & Regional Head, HR North GeographyDates EmployedJun 2013 – Aug 2015Employment Duration2 yrs 3 mosLocationNew Delhi, Delhi, IndiaRegional Head - HR , NorthTitleDeputy Vice PresidentDates EmployedJun 2010 – May 2013Employment Duration3 yrsLocationNew DelhiProfiles - Regional HR Head - North GeographyShow 4 more rolesTitleHead Talent & P",Head Talent & Performance Mangement and HR Relatioship Head for Corporate Centre verticals at Axis Bank,"Mumbai, Maharashtra, India","Retail Banking, Banking, Team Management, Branch Banking, Human Resources, Business Development, Vendor Management, Cross Selling, Strategic HR, MIS, Management Information Systems \\(MIS\\), Management, Employee Engagement",123,16,Mumbai,India,Maharashtra,12691836,3,0.8037539720535278,0.4896620512008667,0.8072100281715393,0.4882127940654754,0.7973292469978333,0.4779032468795776
HR,"VP & Head of HR Technology and HR Shared ServicesCompany NameOYOFull-timeDates EmployedAug 2019 – PresentEmployment Duration8 mosLocationGurgaon, IndiaCompany NameairtelTotal Duration5 yrs 3 mosTitleVP & Head HR - NetworksDates EmployedNov 2018 – Aug 2019Employment Duration10 mosLocationGurgaon, IndiaTitleHead of HR Shared Services & HR TechnologyDates EmployedAug 2015 – Nov 2018Employment Duration3 yrs 4 mosLocationGurgaon, IndiaShow 1 more roleTitleVP & Head HR - NetworksDates EmployedNov 2018 – Aug 2019Employment Duration10 mosLocationGurgaon, IndiaTitleHead of HR Shared Services & HR TechnologyDates EmployedAug 2015 – Nov 2018Employment Duration3 yrs 4 mosLocationGurgaon, IndiaHead HR - OISLCompany NameOlam InternationalDates EmployedJun 2013 – Jun 2014Employment Duration1 yr 1 moLocationChennai Area, IndiaHead HR - AP CircleCompany NameairtelDates EmployedNov 2009 – Jun 2013Employment Duration3 yrs 8 mosLocationHyderabad Area, India3 Major Roles in Airtel:- Aug'11 till Jun'13: Hea",VP & Head of HR Technology and HR Shared Services at OYO,"Gurgaon, Haryana, India","Talent Management, Human Resources, Employee Engagement",126,12,Gurgaon,India,Haryana,197340,2,0.7138952016830444,0.5124627351760864,0.7860347628593445,0.4960712194442749,0.6545307040214539,0.4753421247005462
HR,"Company NameNous InfosystemsTotal Duration19 yrsTitleVice President and Head - Human Capital Management and HRDates Employed2018 – PresentEmployment Duration2 yrsLocationBangaloreResponsible for the People Function at Nous Infosystems including Talent Acquisition, Learning and Development, Talent Management, Employee Engagement and core HR.TitleAssociate Vice President and Head, Human Capital ManagementDates Employed2001 – 2018Employment Duration17 yrsLocationBangaloreResponsible for Talent Management, Talent Acquisition, Competency Development, Fulfillment and Utilization, Employee engagement and internal branding across the Organization.Past (Nous)General Manager - Product Engineering Services (PES)Responsible for the Offshore Product Development (OPD) services as Head of Delivery for our Global customers across a versatile spread of domain and technologies. Was accountable for the P&L and Customer experience.Asst. General Manager - Operations, Global Software Services (GSS)Handled T","Vice President and Head - Human Capital Management and HR at Nous Infosystems, Bangalore","Bengaluru, Karnataka, India","Requirements Analysis, Software Project Management, Pre-sales, Agile Methodologies, Vendor Management, Business Analysis, SDLC, Program Management, Project Management, Business Intelligence, Product Management, Outsourcing, Business Strategy, Business Development, Project Planning, Sales Enablement, SOA, Global Delivery, Solution Architecture, .NET, SaaS, Team Management",116,14,Bengaluru,India,Karnataka,8443675,3,0.7893965840339661,0.4849557280540466,0.790840208530426,0.4930156469345093,0.8049786686897278,0.4642737805843353
HR,"Company NameUmicoreTotal Duration3 yrs 9 mosTitleDirector and HR HeadDates EmployedSep 2018 – PresentEmployment Duration1 yr 7 mosLocationMumbaiTitleIndia HR LeadDates EmployedJul 2016 – Sep 2018Employment Duration2 yrs 3 mosLocationMumbai Area, IndiaAccountable for all HR and IR interventions for pan India operations which includes HO, Regional offices and manufacturing units.TitleDirector and HR HeadDates EmployedSep 2018 – PresentEmployment Duration1 yr 7 mosLocationMumbaiTitleIndia HR LeadDates EmployedJul 2016 – Sep 2018Employment Duration2 yrs 3 mosLocationMumbai Area, IndiaAccountable for all HR and IR interventions for pan India operations which includes HO, Regional offices and manufacturing units.ManagerCompany NameHindalco Industries LimitedDates EmployedFeb 2007 – Jul 2016Employment Duration9 yrs 6 mosLocationMumbaiHindalco Industries Limited, a flagship company of the Aditya Birla Group. Corporate HR role which involved strategic HR interventions to be rolled out in 32 uni",Director and HR Head at Umicore,"Mumbai, Maharashtra, India","Performance Management, Employee Engagement, Training",127,6,Mumbai,India,Maharashtra,12691836,3,0.7139346599578857,0.5044219493865967,0.8043783903121948,0.4992579519748688,0.7644124031066895,0.4502698183059692
